what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1310081848351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310081852780
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310081863182
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310081873093
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310081875812
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310081879238
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310081880435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310081887926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310081887969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310081889892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310081889932
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310081889973
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310081891210
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310081892740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310081895094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310081895135
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310081897058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310081897094
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310081897159
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310081902003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310081902066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310081903420
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310081903451
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310081966344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310082059396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310082061047
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310082074982
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310082083835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310082083953
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310082084111
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310082100504
